input_voltage_setpoint,VCC,PG,v_input_shunt,v_output_shunt,v_input_voltage,v_output_voltage,i_input_current,i_output_current,p_input_power,p_output_power,p_power_loss,efficiency,electronic_load_setpoint,electronic_load_current,electronic_load_voltage,switching_frequency,
,,,,,,,,,,,,,,,,,
5,9.17936E-05,5.32512E-06,0.001046329,1.43274E-07,5.00043457,1.00021817,0.052316446,2.87949E-05,0.261604963,2.88012E-05,0.261576161,0.011009422,0,0.0001656,1.0005,993101.781, 
5,0.000112069,-6.80135E-07,0.00185727,0.000996463,4.99921959,1.00019708,0.092863496,0.200266708,0.464245008,0.200306177,0.263938832,43.14665171,0.2,0.2001293,0.9966635,993218.1376, 
5,8.2487E-05,3.47262E-05,0.002671632,0.001992529,4.99808131,1.0001778,0.133581599,0.400453534,0.667651691,0.400524735,0.267126956,59.99007269,0.4,0.400126,0.9926614,993200.5983, 
5,7.73829E-05,1.92149E-05,0.003487786,0.002989795,4.99682291,1.00013113,0.174389317,0.60088159,0.871392534,0.600960384,0.270432151,68.96551897,0.6,0.6001299,0.9887861,993142.4115, 
5,0.00013236,2.04105E-05,0.004307599,0.003986197,4.99563629,1.00011444,0.215379935,0.801136152,1.075959817,0.801227834,0.274731983,74.46633431,0.8,0.8001466,0.9849181,993211.7633, 
5,9.94939E-05,-2.81715E-05,0.005149042,0.005006634,4.99441297,1.00006194,0.257452078,1.006221093,1.285821998,1.006283419,0.279538579,78.25993183,1,1.0037,0.9806963,993597.7407, 
5,7.01548E-05,-1.9019E-05,0.009299701,0.009990624,4.98831226,0.999906855,0.464985047,2.007891223,2.319490611,2.007704198,0.311786413,86.55797909,2,2.0036,0.9610649,993267.5694, 
5,2.98939E-05,2.37456E-05,0.013517548,0.014974221,4.98214658,0.999787313,0.67587738,3.009482282,3.367320177,3.008842204,0.358477973,89.35420589,3,3.0034,0.9415583,993415.0706, 
5,4.09076E-05,4.05098E-05,0.017800952,0.01995903,4.97587293,0.999663644,0.89004758,4.011316966,4.42876366,4.009967735,0.418795925,90.5437283,4,4.0034,0.9221518,993529.1352, 
5,0.000100923,-2.86682E-05,0.022147931,0.024944475,4.9694503,0.999545645,1.107396545,5.013279512,5.503152093,5.011001703,0.49215039,91.05693643,5,5.0035,0.9025879,993191.8324, 
5,3.93411E-05,3.59409E-05,0.026566605,0.029929552,4.96299523,0.99942499,1.328330255,6.015168078,6.592496719,6.011709296,0.580787424,91.19017501,6,6.0037,0.8830149,993027.6445, 
5,3.18579E-05,8.71102E-06,0.031056391,0.034916293,4.9563568,0.999278834,1.552819545,7.017391251,7.696327711,7.012330547,0.683997164,91.1126814,7,7.0036,0.8634771,993081.8324, 
5,8.40217E-05,-3.10415E-05,0.035618668,0.039902058,4.94972486,0.999156116,1.780933415,8.019417989,8.815130398,8.012650531,0.802479868,90.89656271,8,8.0036,0.8439418,992942.397, 
5,8.3947E-05,4.55802E-05,0.040260655,0.044887925,4.94290312,0.999042874,2.013032765,9.021465428,9.950225935,9.012830749,0.937395186,90.57915677,9,9.0035,0.8244391,993100.16, 
5,9.45195E-05,1.44905E-05,0.044983356,0.049877891,4.93602357,0.99894233,2.24916781,10.02433647,11.10194532,10.01373403,1.08821129,90.19801252,10,10.003,0.8047414,993008.5192, 
5,9.92548E-05,-6.99368E-06,0.049789928,0.054864014,4.92888531,0.998837317,2.48949639,11.0264353,12.27044219,11.01361505,1.256827134,89.7572792,11,11.003,0.7849792,993019.7036, 
5,8.7278E-05,-2.1858E-05,0.054684658,0.05985249,4.92172247,0.998717133,2.734232915,12.02900703,13.45713558,12.01357541,1.443560162,89.2729017,12,12.003,0.765214,993278.7292, 
5,3.76081E-05,-2.56402E-05,0.059667917,0.064842268,4.91437983,0.998609606,2.983395855,13.03184047,14.66154041,13.01372108,1.647819335,88.76093992,13,13.003,0.7451259,993466.11, 
5,4.24817E-05,6.23104E-06,0.064748985,0.069830507,4.9069285,0.998515472,3.23744927,14.03436453,15.88593209,14.01353012,1.872401968,88.21345856,14,14.003,0.7250058,993540.3178, 
5,0.000109756,4.3569E-05,0.06992573,0.074820075,4.89936386,0.998347688,3.496286505,15.03715581,17.12957975,15.01230973,2.117270014,87.63968501,15,15.003,0.7046044,993976.0589, 
5,4.6044E-05,3.43323E-05,0.07520896,0.079811882,4.89162262,0.998242748,3.76044801,16.04039683,18.39469255,16.01220981,2.382482736,87.04798827,16,16.003,0.6841958,994247.5761, 
5,2.34786E-05,-1.38513E-05,0.080605166,0.084800333,4.88371813,0.998127242,4.030258285,17.04296357,19.68264546,17.01104623,2.671599227,86.42662526,17,17.003,0.6641558,994826.2986, 
5,3.68187E-05,8.27952E-06,0.08611961,0.089790554,4.87557797,0.998004774,4.30598049,18.04588593,20.99414362,18.00988031,2.984263308,85.7852582,18,18.003,0.6436143,995027.8248, 
5,0.000117262,1.71037E-06,0.091755888,0.094781062,4.86729547,0.997821097,4.58779442,19.04886617,22.330151,19.00736053,3.322790464,85.11971341,19,19.003,0.6228131,995534.5294, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
9,0.000221434,9.44203E-05,0.001048844,9.41039E-07,8.99714796,1.00046041,0.052442201,0.000189128,0.471830242,0.000189215,0.471641027,0.040102293,0,0.0001735,1.0007,992991.7571, 
9,0.000158346,4.9521E-05,0.001503502,0.000997047,8.99649622,1.00039259,0.075175103,0.200384073,0.676312525,0.200462742,0.475849784,29.64054841,0.2,0.2001457,0.9967817,993268.3502, 
9,0.000176403,2.31717E-05,0.001960369,0.001993066,8.99587942,1.00037019,0.098018471,0.400561543,0.881762346,0.400709827,0.481052519,45.44419809,0.4,0.4001366,0.9928116,993279.4985, 
9,0.000196814,4.76025E-05,0.002418115,0.002990554,8.99513721,1.00029716,0.12090577,0.601034305,1.087563986,0.601212908,0.486351078,55.28069299,0.6,0.600136,0.9889089,993194.9428, 
9,0.000103064,7.32315E-06,0.002877075,0.003987352,8.99446488,1.00027774,0.143853751,0.801368305,1.293887507,0.801590877,0.492296629,61.95213056,0.8,0.8001504,0.9850592,993260.3545, 
9,0.000131556,5.39152E-05,0.003348606,0.005009897,8.99368389,1.00024837,0.167430299,1.006876767,1.505815183,1.007126845,0.498688338,66.88250033,1,1.0039,0.9808075,993170.2261, 
9,0.000144931,5.0081E-05,0.00566684,0.009994311,8.99038197,1.00011134,0.283342019,2.008632161,2.547352979,2.008855802,0.538497177,78.86051986,2,2.0038,0.9611006,993281.0501, 
9,0.000121229,1.89487E-05,0.008014972,0.014978684,8.98689572,0.999963443,0.400748619,3.010379245,3.601486049,3.010269194,0.591216855,83.58408594,3,3.0039,0.9415045,993141.5643, 
9,0.000134239,6.51759E-05,0.01039144,0.019964522,8.98343158,0.999822752,0.51957201,4.012420855,4.667539603,4.011709661,0.655829941,85.94912958,4,4.0037,0.9218619,993084.9924, 
9,0.000169134,5.18544E-05,0.012796062,0.02495048,8.97993872,0.999686841,0.639803075,5.014486543,5.745392406,5.012916211,0.732476195,87.25106758,5,5.0038,0.9021676,993241.1725, 
9,0.00010111,2.08573E-05,0.015230935,0.029936605,8.97630591,0.999579281,0.761546745,6.016585753,6.835876548,6.014054461,0.821822087,87.97780971,6,6.0041,0.8825623,992876.2482, 
9,0.000102038,-1.24038E-05,0.017696916,0.034923682,8.97263409,0.999451817,0.884845785,7.018876274,7.939397455,7.015028646,0.924368809,88.35719191,7,7.0039,0.8628338,992920.8442, 
9,7.32759E-05,3.18866E-05,0.0201916,0.03990988,8.96898372,0.999302723,1.00958,8.020990056,9.054906584,8.015397204,1.03950938,88.51993258,8,8.004,0.8430892,992862.7178, 
9,0.000121997,5.95497E-05,0.022718141,0.044896762,8.96528334,0.999204284,1.135907035,9.023241426,10.18372842,9.016061489,1.167666928,88.53399384,9,9.0036,0.8234629,992806.9628, 
9,0.000120324,-7.76413E-06,0.02527982,0.049886709,8.96150402,0.999088642,1.26399102,10.02610875,11.32726061,10.01697138,1.310289228,88.43242622,10,10.004,0.8038656,992975.0686, 
9,0.000114277,1.81211E-05,0.027876398,0.054872244,8.95771802,0.998991923,1.393819895,11.02808949,12.48544559,11.01697232,1.468473266,88.23851936,11,11.003,0.7842863,993313.8008, 
9,0.000113977,-2.39112E-05,0.030511769,0.059861594,8.95388846,0.998849308,1.525588455,12.03083679,13.65994886,12.016993,1.642955859,87.97245966,12,12.003,0.7646709,993049.157, 
9,0.000132378,1.94702E-05,0.033185098,0.064851575,8.94994002,0.998746684,1.65925492,13.03371091,14.85023201,13.01737555,1.83285646,87.65772508,13,13.004,0.7451494,993258.7655, 
9,0.000116457,-5.41014E-06,0.035896389,0.069839678,8.94592905,0.998607172,1.794819445,14.03620779,16.05632741,14.01665777,2.039669641,87.29678594,14,14.003,0.7254683,993257.213, 
9,7.91576E-05,5.6498E-05,0.038648842,0.074828295,8.94195018,0.998495867,1.93244208,15.03880776,17.27980081,15.01618739,2.263613411,86.90023434,15,15.003,0.7057735,993211.7487, 
9,8.20033E-05,6.86309E-05,0.041445546,0.0798202,8.93786546,0.998349299,2.07227729,16.04206852,18.52173561,16.01558786,2.506147751,86.46915277,16,16.004,0.6860296,993301.8838, 
9,0.000110504,4.79021E-05,0.044288149,0.084809628,8.93366396,0.998223534,2.214407435,17.04483166,19.78277189,17.0145521,2.768219798,86.00691646,17,17.003,0.6666621,993152.7152, 
9,0.000120615,3.19376E-05,0.047179635,0.089799671,8.92938228,0.998088192,2.35898177,18.04771822,21.06425002,18.01321445,3.051035567,85.51557466,18,18.003,0.6468729,993155.1614, 
9,0.00012613,-9.12746E-06,0.050121364,0.094790185,8.9250223,0.997933322,2.50606818,19.05069958,22.36671439,19.01132792,3.355386471,84.99830412,19,19.003,0.6267199,992883.4049, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12,0.000167935,5.63695E-05,0.001103595,1.17574E-06,11.9987999,1.00057253,0.055179757,0.000236298,0.662090863,0.000236433,0.66185443,0.035710028,0,0.0001785,1.0008,994631.793, 
12,0.000214266,2.77545E-05,0.001421361,0.000997236,11.9983382,1.00052307,0.071068065,0.200421999,0.852698679,0.200526834,0.652171845,23.51672858,0.2,0.2001615,0.9968979,994736.634, 
12,0.000335281,8.17658E-05,0.001755548,0.00199421,11.9978262,1.00045434,0.087777413,0.400791397,1.053138145,0.400973493,0.652164653,38.07415909,0.4,0.4001477,0.9929001,994571.2461, 
12,0.000244913,6.00216E-05,0.00210155,0.002991065,11.9972554,1.00041276,0.105077489,0.601136936,1.260641466,0.601385061,0.659256405,47.70468665,0.6,0.6001517,0.9890983,994472.8313, 
12,0.000212693,4.55169E-05,0.00244795,0.003987693,11.9968031,1.0003829,0.122397522,0.801436762,1.468378971,0.801743633,0.666635339,54.60059346,0.8,0.8001572,0.9852616,994553.5415, 
12,0.000155439,3.70829E-05,0.002804816,0.005011523,11.9962869,1.00037181,0.140240814,1.007203707,1.682369034,1.007578195,0.674790839,59.89043872,1,1.0041,0.9809791,994511.2723, 
12,0.000191181,3.36577E-05,0.004555472,0.009996648,11.9936745,1.00018819,0.22777362,2.009101954,2.731842652,2.009480047,0.722362605,73.55767893,2,2.004,0.9614974,994339.2734, 
12,0.000211536,6.42209E-05,0.006327281,0.014981451,11.9912454,1.0000498,0.316364065,3.01093543,3.793599139,3.011085375,0.782513765,79.37278727,3,3.0041,0.9421093,994204.3842, 
